Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab,Disc_beluga,Disc_bowhead,Disc_walrus,Disc_bearded,Disc_ringed,Disc_spotted,Disc_ribbon,Disc_herring,Disc_king_crab
transient_killer_whales,0,0.000457311,0.02542091,4.1,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harbor_porpoise,0,0.002570007,0.05,30.1,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beluga,0,0.056804809,0.112092,15.3,,,0,0.2,,0,0.4,0.6,0.000623407,0,0,0,0,0,0,0,0,6.23E-07,0,0,0,0,0,0,0,0
gray_whales,0,0.29878558,0.063365,7.9,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowhead_whales,0,0.286555396,0.01005,4.5,,,0,0.2,,0,0.4,0.6,0,0.000980515,0,0,0,0,0,0,0,0,9.81E-07,0,0,0,0,0,0,0
oth_baleen_whales,0,0.006458075,0.068763902,7.00059698,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pac_walrus,0,0.182070027,0.075069018,31,,,0,0.2,,0,0.4,0.6,0,0,0.00665473,0,0,0,0,0,0,0,0,6.65E-06,0,0,0,0,0,0
bearded_seal,0,0.081087301,0.08768196,17.9,,,0,0.2,,0,0.4,0.6,0,0,0,0.001802083,0,0,0,0,0,0,0,0,1.80E-06,0,0,0,0,0
ringed_seal,0,0.018166153,0.06829384,24.4,,,0,0.2,,0,0.4,0.6,0,0,0,0,0.000683894,0,0,0,0,0,0,0,0,6.84E-07,0,0,0,0
spotted_seal,0,0.082753634,0.06829384,18.7,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0.000941861,0,0,0,0,0,0,0,0,9.42E-07,0,0,0
ribbon_seal,0,0.013652423,0.06829384,21.4,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,1.18E-05,0,0,0,0,0,0,0,0,1.18E-08,0,0
procellarids,0,0.022282101,0.066742182,187.9284713,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cormorants,0,2.25218E-05,0.162518929,142.6184495,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scolopacids,0,6.53536E-05,0.162518929,374.3133096,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larids,0,0.00087272,0.105722502,205.6736088,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcids_piscivorous,0,0.007723889,0.104122027,178.3831034,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcids_planktivorous,0,0.000241338,0.140402428,247.506723,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eiders,0,0.000234738,0.4942963,145.5731798,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pollock_juv,0,,1.453282,8.4045,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pollock_adu,0,0.107207442,0.6672099,3.17,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pcod_juv,0,,1.782069,8.828409,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pcod_adu,0,0.148200974,0.4118969,2.28,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arctic_cod,0,0.191524842,0.8689514,3.008252408,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saffron_cod,0,0.45636397,0.5477087,2.802847933,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herring,0,,0.48065,4.46909,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0.003138493,0,0,0,0,0,0,0,0,3.14E-06,0
arrowtooth_juv,0,,8.10E-01,5.78685,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
