Group,transient_killer_whales,harbor_porpoise,beluga,gray.whales,bowhead.whales,baleen.whales,pac_walrus,bearded_seal,ringed_seal,spotted_seal,ribbon_seal,procellarids,cormorants,scolopacids,larids,alcids_piscivorous,alcids_planktivorous,eiders,pollock_juv,pollock_adu,pcod_juv,pcod_adu,arctic_cod,saffron_cod,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,eelpouts,atka,shallow_demersals,lg_sculpins,oth_sculpins,snailfish,octopus,squids,salmon_returning,salmon_smolts,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,np_shrimp,sea_stars,brittle_stars,basket_stars,urchin_dollar_cucs,snails,hermit_crabs,misc_crabs,misc_crustaceans,benthic_amphipods,anemones,corals,benthic_urochordate,sponge,bivalves,polychaetes,misc_worms_etc,jellyfish,euphausiids,copepods,pel_zooplankton,hyperiids,chaetognaths,mysids,pel_microbes,ben_microbes,ice_algae,lg_phytoplankton,sm_phytoplankton
transient_killer_whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor_porpoise,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beluga,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray.whales,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowhead.whales,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen.whales,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pac_walrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bearded_seal,0.155,,,,,,0.000296559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ringed_seal,0.155,,,,,,0.000703441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted_seal,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ribbon_seal,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procellarids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cormorants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scolopacids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcids_piscivorous,,,,,,,,,,,,,,,0.004651598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcids_planktivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollock_juv,,0.270137547,0.059686028,,,0.054123296,,,,,0.2,,,,,,,,,0.003672673,,0.005464979,0.016103388,0.015010854,,0.2185271,0.498946641,0.581234376,0.01199148,0.316798415,,0.078745844,,0.1676614,,,,0.004672714,0.022978837,,,0.024696269,,0.021798201,,,,,,,0.106759108,,,,,,,,,,,,,,,,,,,,,,0.0000961,,,,,,,,,,,
pollock_adu,,,,,,,,,,,,,,,,,,,,,,5.59E-05,,,,,0.207138503,0.213201088,,0.122921439,,0.00080555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcod_juv,,0.005720485,,,,,,,,,,,,,,,,,,,,0.000142889,,,,,2.66E-06,,,,,0.016357877,,0.000107437,,,,,0.010190432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcod_adu,,,,,,,,,,,,,,,,,,,,,,1.07E-04,,,,,1.29E-06,,,0.001456332,,0.012268407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arctic_cod,,,0.22,,,,,0.008516102,0.45,0.216282736,0.2,0.069699589,0.25,,0.501276535,0.259477531,,,,0.101703814,,,0.037049995,0.015040875,,,,,,,,0.076170841,,,0.021902791,,,,0.015876651,,,0.011160038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saffron_cod,,,0.035907413,,,,,0.017999943,0.33,0.092361233,0.2,,,,0.023257988,0.237216342,,,,0.021701904,,0.022266445,,,,,,,,,,0.106604574,,,,,,0.078593704,,,,0.053932544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herring,,0.047063381,0.13860164,,,0.023431366,,0.002322573,,0.114350272,0.05,,,,,,,,,0.006482978,,0.051826302,,0.005949252,,,0.014283013,,,0.014272146,,,,,,,,0.139883502,,,,0.000995701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000961,,,,,,,,,,,
arrowtooth_juv,,,,,,,,0.005370951,,0.002134162,,,,,,0.001,,,,,,,,,,,0.003638404,1.24E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrowtooth_adu,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kamchatka,,,,,,,,0.005370951,,0.002134162,,,,,,,,,,,,,,,,,6.50E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_juv,,,,,,,,0.005370951,,0.002134162,,,,,,0.002,,,,,,,,,,,,,,,,,,0.00000438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_turbot_adu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_juv,,,,,,,,0.005370951,,0.002134162,,,,,,0.002,,,,,,,,,,0.000599666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut_adu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yf_sole,,,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,0.025967295,,0.056134168,,,,,0.000304889,,,,,0.021466272,,,,,,,,,,0.003271011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fh_sole,,,,,,,,0.004296761,,0.00170733,,,,,,0.002,,,,,,0.006011896,,,,0.001329797,0.01226688,0.000925152,,8.82E-06,,,,0.001616302,,,,,,,,6.99E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nr_sole,,0.044463413,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,,,0.007520245,,,,0.0000138,1.59E-05,,,,,,,0.0000119,,,,,,,,0.000348776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ak_plaice,,0.013974664,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,,,0.001982639,,,,,,,,,,0.014023385,,2.10E-09,,,,0.027694295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oth_flatfish,,0.003187609,,,,,,0.004296761,,0.00170733,,,,,,0.003,,,,0.002713501,,0.144199083,,0.000736488,,,,,,,,0.111122439,,,,,,0.010748575,0.011177585,,,0.032713543,,,,,,,,,0.000163263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skates,,,,,,0.018052229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eelpouts,,0.001561503,0.01,,,,,,,,0.05,,,,,,,,,0.001745156,,0.006558973,,0.0027888,,0.00035915,0.045677614,0.052592514,,0.085014475,,,,0.001888999,,,,,,,,0.044374944,,0.023117423,,,,,,,0.001745988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atka,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000441831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
