Group,Biomass,PB,QB,Diet,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab
transient_killer_whales,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
harbor_porpoise,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
beluga,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
gray_whales,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
bowhead_whales,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0
oth_baleen_whales,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pac_walrus,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0
bearded_seal,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0
ringed_seal,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0
spotted_seal,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0
ribbon_seal,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0
procellarids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
cormorants,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
scolopacids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
larids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
alcids_piscivorous,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
alcids_planktivorous,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
eiders,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pollock_juv,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pollock_adu,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pcod_juv,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pcod_adu,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
arctic_cod,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
saffron_cod,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
herring,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0
arrowtooth_juv,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
arrowtooth_adu,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
kamchatka,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
gr_turbot_juv,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
gr_turbot_adu,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
halibut_juv,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
halibut_adu,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
yf_sole,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
fh_sole,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
nr_sole,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
ak_plaice,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
oth_flatfish,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
skates,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
eelpouts,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
atka,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
shallow_demersals,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
lg_sculpins,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
oth_sculpins,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
snailfish,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
octopus,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
squids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
salmon_returning,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
salmon_smolts,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
